"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","","89.0%","","88.2%","","90.6%","","94.9%","","92.1%","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","","38.5%","","23.8%","","23.1%","","45.2%","","33.0%","","44.3%",""
"Households with a computer, percent, 2016-2020","","95.7%","","94.2%","","93.9%","","97.7%","","94.8%","","98.3%",""
"Households with a broadband Internet subscription, percent, 2016-2020","","91.8%","","92.3%","","91.6%","","88.9%","","91.6%","","95.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2016-2020","","86.4%","","94.4%","","94.4%","","90.9%","","77.6%","","93.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","","36.7%","","41.3%","","50.0%","","40.0%","","10.2%","","48.1%",""
"With a disability, under age 65 years, percent, 2016-2020","","6.0%","","6.3%","","5.2%","","6.9%","","7.7%","","4.1%",""
"Persons  without health insurance, under age 65 years, percent","","11.3%","","5.3%","","5.4%","","5.2%","","9.5%","","4.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2016-2020","","64.8%","","62.0%","","62.3%","","60.4%","","55.2%","","65.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2016-2020","","54.7%","","57.4%","","56.1%","","51.8%","","46.0%","","57.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","43,039","","173,497","","378,468","","16,456","","88,591","","114,462",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","10,734","","320,935","","1,050,967","","14,763","","73,246","","D",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","640,346","","1,636,820","","1,238,778","","D","","55,444","","D",""
"Total retail sales, 2012 ($1,000)","(c)","146,776","","1,526,788","","2,880,594","","5,607","","615,474","","635,643",""
"Total retail sales per capita, 2012","(c)","$11,093","","$23,144","","$22,432","","NA","","$6,685","","$8,314",""
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020","","23.1","","24.2","","25.9","","27.2","","41.7","","38.8",""
"Median household income (in 2020 dollars), 2016-2020","","$74,868","","$98,039","","$108,377","","$102,803","","$54,149","","$104,661",""
"Per capita income in past 12 months (in 2020 dollars), 2016-2020","","$42,554","","$46,181","","$53,605","","$47,968","","$20,228","","$39,993",""
"Persons in poverty, percent","","7.6%","","6.8%","","6.8%","","4.5%","","18.8%","","6.9%",""
"Total employer establishments, 2019","","X","","X","","X","","X","","X","","X",""
"Total employment, 2019","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2019 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2018-2019","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2018","","X","","X","","X","","X","","X","","X",""
"All firms, 2012","","1,528","","7,011","","17,027","","1,515","","6,561","","6,954",""
"Men-owned firms, 2012","","879","","3,478","","9,055","","689","","3,371","","3,701",""
"Women-owned firms, 2012","","416","","2,488","","5,427","","564","","2,569","","2,216",""
"Minority-owned firms, 2012","","461","","2,109","","3,642","","731","","4,185","","4,471",""
"Nonminority-owned firms, 2012","","999","","4,417","","12,679","","694","","2,125","","2,239",""
"Veteran-owned firms, 2012","","74","","440","","1,249","","122","","415","","346",""
"Nonveteran-owned firms, 2012","","1,385","","6,139","","14,969","","1,292","","5,924","","6,305",""
"Population per square mile, 2010","","5,043.4","","3,338.9","","2,302.0","","2,509.4","","1,233.6","","1,674.1",""
"Land area in square miles, 2010","","2.59","","19.53","","55.03","","5.00","","73.10","","44.68",""
"FIPS Code","","""0611446""","","""0610046""","","""0678582""","","""0607414""","","""0633434""","","""0613214""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
