"Owner-occupied housing unit rate, 2016-2020","","64.5%","","69.9%","","52.9%","","71.9%","","85.3%","","52.9%",""
"Median value of owner-occupied housing units, 2016-2020","","$229,100","","$227,600","","$219,600","","$248,200","","$143,500","","$214,900",""
"Median selected monthly owner costs -with a mortgage, 2016-2020","","$1,454","","$1,528","","$1,411","","$1,692","","$1,086","","$1,520",""
"Median selected monthly owner costs -without a mortgage, 2016-2020","","$448","","$499","","$426","","$522","","$342","","$533",""
"Median gross rent, 2016-2020","","$1,052","","$933","","$934","","$1,155","","$976","","$840",""
"Building permits, 2020","","X","","X","","X","","X","","X","","X",""
"Households, 2016-2020","","3,513","","6,714","","9,333","","4,638","","2,645","","6,957",""
"Persons per household, 2016-2020","","2.41","","3.02","","4.26","","4.01","","2.26","","3.71",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","","74.7%","","86.6%","","91.0%","","89.9%","","91.2%","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","","28.3%","","29.7%","","95.5%","","67.7%","","57.0%","","66.9%",""
"Households with a computer, percent, 2016-2020","","88.6%","","92.2%","","87.0%","","94.4%","","85.3%","","88.9%",""
"Households with a broadband Internet subscription, percent, 2016-2020","","80.7%","","85.0%","","79.5%","","92.0%","","72.9%","","82.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2016-2020","","80.2%","","79.9%","","67.2%","","79.7%","","70.6%","","72.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","","14.7%","","17.4%","","18.9%","","21.6%","","7.4%","","15.0%",""
"With a disability, under age 65 years, percent, 2016-2020","","10.0%","","11.9%","","7.1%","","5.7%","","12.6%","","11.1%",""
"Persons  without health insurance, under age 65 years, percent","","4.9%","","9.1%","","8.5%","","5.1%","","9.1%","","5.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2016-2020","","29.6%","","57.7%","","52.9%","","58.6%","","53.4%","","53.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2016-2020","","30.0%","","50.7%","","48.7%","","54.5%","","43.0%","","45.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","28,399","","10,650","","44,736","","D","","429","","26,146",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","D","","2,680","","22,692","","D","","D","","159,692",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","D","","D","","X","","X","","D",""
"Total retail sales, 2012 ($1,000)","(c)","224,208","","71,896","","432,363","","88,045","","D","","141,954",""
"Total retail sales per capita, 2012","(c)","$16,266","","NA","","$10,999","","$5,620","","NA","","$5,552",""
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020","","24.6","","28.6","","24.7","","20.5","","32.5","","22.7",""
"Median household income (in 2020 dollars), 2016-2020","","$47,039","","$64,218","","$42,732","","$82,133","","$29,138","","$46,177",""
"Per capita income in past 12 months (in 2020 dollars), 2016-2020","","$21,408","","$26,990","","$17,072","","$22,559","","$17,940","","$19,222",""
"Persons in poverty, percent","","11.4%","","17.4%","","20.0%","","6.4%","","27.3%","","31.4%",""
"Total employer establishments, 2019","","X","","X","","X","","X","","X","","X",""
"Total employment, 2019","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2019 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2018-2019","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2018","","X","","X","","X","","X","","X","","X",""
"All firms, 2012","","654","","1,020","","4,078","","617","","147","","1,481",""
"Men-owned firms, 2012","","259","","330","","1,821","","252","","103","","768",""
"Women-owned firms, 2012","","243","","587","","1,960","","240","","39","","596",""
"Minority-owned firms, 2012","","104","","535","","3,556","","444","","107","","1,008",""
"Nonminority-owned firms, 2012","","511","","472","","438","","148","","35","","435",""
"Veteran-owned firms, 2012","","72","","133","","103","","61","","F","","110",""
"Nonveteran-owned firms, 2012","","524","","874","","3,908","","502","","132","","1,277",""
"Population per square mile, 2010","","1,459.8","","348.2","","4,596.7","","2,519.9","","175.6","","3,248.4",""
"Land area in square miles, 2010","","9.87","","52.12","","8.39","","5.86","","21.43","","7.68",""
"FIPS Code","","""0678092""","","""0662826""","","""0609710""","","""0636280""","","""0664294""","","""0608058""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
