"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","","69.1%","","7.4%","","22.6%","","12.6%","","2.2%","","15.0%",""
"With a disability, under age 65 years, percent, 2016-2020","","2.8%","","3.8%","","7.6%","","15.9%","","3.7%","","11.1%",""
"Persons  without health insurance, under age 65 years, percent","","3.0%","","9.3%","","8.2%","","4.9%","","10.0%","","5.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2016-2020","","56.3%","","49.2%","","63.2%","","43.7%","","60.2%","","53.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2016-2020","","50.3%","","54.7%","","56.2%","","47.7%","","48.3%","","45.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","127,910","","23,299","","713,421","","D","","4,297","","26,146",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","87,397","","140,069","","3,073,591","","D","","14,862","","159,692",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","38,301","","646,187","","X","","X","","D",""
"Total retail sales, 2012 ($1,000)","(c)","128,153","","277,346","","5,263,757","","43,504","","48,089","","141,954",""
"Total retail sales per capita, 2012","(c)","$3,028","","$5,290","","$14,679","","$3,255","","$2,389","","$5,552",""
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020","","35.2","","18.3","","23.4","","43.0","","24.0","","22.7",""
"Median household income (in 2020 dollars), 2016-2020","","$146,163","","$47,042","","$65,687","","$47,575","","$39,750","","$46,177",""
"Per capita income in past 12 months (in 2020 dollars), 2016-2020","","$71,780","","$14,307","","$27,309","","$20,165","","$11,636","","$19,222",""
"Persons in poverty, percent","","3.7%","","18.9%","","17.2%","","25.3%","","32.0%","","31.4%",""
"Total employer establishments, 2019","","X","","X","","X","","X","","X","","X",""
"Total employment, 2019","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2019 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2018-2019","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2018","","X","","X","","X","","X","","X","","X",""
"All firms, 2012","","4,426","","1,947","","25,938","","808","","682","","1,481",""
"Men-owned firms, 2012","","2,332","","914","","13,070","","311","","430","","768",""
"Women-owned firms, 2012","","1,610","","771","","10,008","","434","","215","","596",""
"Minority-owned firms, 2012","","1,820","","1,680","","14,254","","493","","602","","1,008",""
"Nonminority-owned firms, 2012","","2,439","","180","","10,662","","298","","68","","435",""
"Veteran-owned firms, 2012","","274","","98","","1,744","","71","","27","","110",""
"Nonveteran-owned firms, 2012","","4,082","","1,745","","22,871","","725","","642","","1,277",""
"Population per square mile, 2010","","3,092.7","","3,708.4","","2,444.2","","69.4","","4,005.5","","3,248.4",""
"Land area in square miles, 2010","","13.46","","14.30","","142.16","","203.52","","4.82","","7.68",""
"FIPS Code","","""0659514""","","""0618394""","","""0603526""","","""0609780""","","""0602924""","","""0608058""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
